sampleID	Lactobacillus iners (OTU 1)	Lactobacillus crispatus (OTU 2)	Gardnerella vaginalis (OTU 3)	Lactobacillus jensenii (OTU 581)	Lactobacillus sp. (OTU 8)	Lactobacillus gasseri (OTU 479)	 Atopobium vaginae (OTU 5)	Megasphaera genomosp (OTU 7)	Lactobacillus sp. (OTU 30)	Lactobacillus iners (OTU 501)	 Bifidobacteriaceae(f) (OTU 590)	Low Mean Abundance (<= 0.1)
W208	0.0427823156660928	0.0128566719167796	0.603787407054687	7.32573898392e-05	0.0002930295593568	3.66286949196e-05	0.118786857624263	0.053661038057214	0.0004029156441156	0	0.0114281528149152	0.155891725577818
W204	0.196025890868597	0.0426294543429844	0.00260996659242762	0.000243596881959911	0.00045239420935412	0.553939309576837	0.000835189309576837	0.00156597995545657	0.158581570155902	0.000243596881959911	0.00132238307349666	0.0415506681514477
W201	0.0798125374396561	0.00218471404912083	0.021952852461327	0.158814616441735	0.289157475598154	0.218471404912083	0.00412276683463124	0.00380563092427499	0.113887029141266	7.04746467458332e-05	0.000704746467458332	0.107015751083548
W227	0.00246656244571826	0.941705749522321	0.00225812054889699	0.0157721035261421	0.0190029529268716	0.000138961264547507	0.000903248219558798	0.00152857391002258	0.000799027271148167	3.47403161368768e-05	0.00111169011638006	0.0142782699322564
W241	0.288334835980304	0.112386434565504	0.000450794091129759	0.00339829391774742	0.00509744087662112	0.000901588182259519	0	0	0.0213953810943893	0.523926763298426	0	0.0441084679936195
W229	0.991765560668443	0.000622772722554752	0.000345984845863751	0.000103795453759125	0.000415181815036501	3.45984845863751e-05	0.0001383939383455	0.000276787876691001	0.000830363630073003	0.000588174237968377	0.000518977268795627	0.00435940905788326
W211	0.179645636953886	0.000899597136934329	0.412758634176869	3.91129189971448e-05	0.000117338756991434	0	0.0983298783588219	0.150584738139007	0.000312903351977158	0.000117338756991434	0.0238979935072554	0.133296827942269
W209	0.000692257104288533	0.975044131390398	0.00179986847115019	0.00494963829566301	0.00633415250424008	0	0.000138451420857707	0.000276902841715413	0.000173064276072133	0	3.46128552144266e-05	0.0105569208404001
W231	0.000407936213610235	0.000407936213610235	0.00745410717596885	0.316558501761543	0.333358056740219	0.0760244761728166	0.0947895419988874	0	0.158575931763397	0	0.000222510661969219	0.0122010012979789
W215	0.45556898896781	0.00989874565513072	0.3082590297718	0.000944536799153695	0.000793410911289104	0.000642285023424513	0.0337766359377361	0.0726537705909022	0.00275804745352879	0.000226688831796887	0.0153014961462899	0.099176363911138
W220	0.859660664819945	0.0632963988919668	0.00270083102493075	0.00796398891966759	0.00976454293628809	6.92520775623269e-05	3.46260387811634e-05	3.46260387811634e-05	0.024584487534626	0.000450138504155125	0	0.0314404432132964
W214	0.00140107661676867	0.000589926996534179	0.00589926996534179	0.500553056559251	0.383231325123516	0.00265467148440381	0.0904800530934297	7.37408745667724e-05	0.00759531008037755	3.68704372833862e-05	0.000331833935550476	0.00715286483297692
W232	0.822416356877323	0.00643122676579926	0.0120446096654275	0.0496654275092937	0.0500371747211896	0.00527881040892193	0.000111524163568773	0.000111524163568773	0.0408921933085502	0.00148698884758364	0.000669144981412639	0.0108550185873606
W238	0.262766359853738	0.000420291682427605	0.310343378304543	4.20291682427605e-05	0.000294204177699323	0	0.119026604463498	0.155087630815786	0.000210145841213802	0	0.0255957634598411	0.12621359223301
W225	0.621212661932122	0.000963563042004211	0.194068734163663	0.0673780379001463	0.0430034616894472	0	0.0104207558616752	0.0144177581099889	0.0190214481995646	0.00021412512044538	0.00239106384497341	0.0269083901359695
W239	0.0730357401244393	0.00220662711619158	0.296085949934886	3.61742150195341e-05	0.00018087107509767	0.000614961655332079	0.0523802633482853	0.00097670380552742	0.00097670380552742	0.000325567935175807	0.0136015048473448	0.559578932137173
W210	0.00183677005718246	0.969814590192341	0.00706983191821175	0.0028417951828106	0.00381216426962398	0	0.00110899324207243	0.00159417778547912	0.000554496621036216	0	0.00010396811644429	0.0112632126147981
W235	0.000728635370042677	0.000312272301446862	0.68856042469033	0.172651885777732	0.0808438291523542	6.93938447659693e-05	0.0340029839353249	0	0.000138787689531939	0	0.00319211685923459	0.0194996703792374
W245	0.571534643792254	0.000234475751299386	0.051584665285865	0.0333737152682793	0.0577982726952988	0.000195396459416155	0.0756965883778186	0.0951580757356677	0.0271601078588456	0.000273555043182618	0.0619797569268045	0.0250107468052679
W224	0.0216236853979383	0.912325153587172	0.0142306757835549	0.00753184547568637	0.00860782340078442	3.47089653257436e-05	0.00166603033563569	0.00295026205268821	0.00482454618027837	6.94179306514873e-05	0.000104126895977231	0.0260317239943077
W222	0.000346957185483311	0.0021164388314482	0.561203247519256	0.299111789605163	0.112448823815141	0	0	0	0.000277565748386649	0	0.00187356880160988	0.0226216084935119
W207	0.0106195302500951	0.946487253104569	0.000207547822477429	0.00664153031927773	0.00778304334290359	0	0	3.45913037462382e-05	0.00238679995849044	0.000138365214984953	0	0.025701338683455
W233	0.000560731538992409	0.000431331953071084	0.0257505175983437	0.414725672877847	0.415027605244997	0.00815217391304348	0.100500345065562	0	0.022688060731539	4.31331953071084e-05	0.00107832988267771	0.0110420979986197
W216	0.0012800945300576	0.042932401161932	0.324257791344592	0.00196937620008862	0.00123086012505539	0.105804736349761	0.108808035054896	0.253458716951406	0.0510560779872975	9.84688100044311e-05	0.0337748018315199	0.0753286396533898
