	103756	106769	111047	119267	122974	226303	226874	227761	230844	231284	233868	235827	236256	236738	237533	239925	251073	258708	258753	267434	270524	270558	272237	272747	276826	276844	276877	277188	282940	283505	299967	305989	307975	311595	311867	312343	312444	316216	320150	320410	320952	328380	328867	335608	341330
pentadecanoic acid	0.041643314	0.033114461	0.027855153	0.024136807	0.164486505	0.034203543	0.076300606	0.150157804	0.197606323	0.102116015	0.009757654	0.065479089	0.022314373	0.053029824	0.051031936	0.024523149	0.126439131	0.058822578	0.120060688	0.073415135	0.110340547	0.092257823	0.045563798	0.112311308	0.108414636	0.040692093	0.090309284	0.163892705	0.078483302	0.014745732	0.131899316	0.039774469	0.083591117	0.028821948	0.015625143	0.057212611	0.054674716	0.052651783	0.039098068	0.031323406	0.151386215	0.02047601	0.036430252	0.026199388	0.373928264
pelargonic acid	0.226000713	0.159080345	0.208036728	0.140615621	0.374750903	0.202821012	0.187580985	0.154775276	0.25344811	0.264307592	0.077693021	0.084294919	0.142078367	0.035188014	0.106040386	0.138762176	0.229588206	0.104877033	0.121492507	0.153975856	0.086658855	0.253694517	0.108966514	0.029658462	0.175595992	0.030991501	0.1784764	0.137559118	0.0965906	0.112652614	0.275922145	0.128497579	0.099563942	0.139718896	0.054087034	0.357270118	0.215250907	0.01793834	0.259775571	0.10057296	0.089040776	0.049710195	0.129481017	0.069469022	0.223390944
parabanic acid NIST	0.014354695	0.08914173	0.023418962	0.164406793	0.153866035	0.106030985	0.152601211	0.076278245	0.063202022	0.05621978	0.024793033	0.196263581	0.030139688	0.103767472	0.05500845	0.066770951	0.041973858	0.096123341	0.118628869	0.261851156	0.140476567	0.195069338	0.27189161	0.062075851	0.263157618	0.080124369	0.129713897	0.09443566	0.072154003	0.086564012	0.146436305	0.044983031	0.181143666	0.184302847	0.055746847	0.102547578	0.049913254	0.06177401	0.143429838	0.054459412	0.208606599	0.079789997	0.168325322	0.059276897	0.35989086
palmitic acid	0.734979992	0.666980899	0.681729083	0.490800939	2.107666463	0.99382296	2.027007712	1.641721322	1.227772622	1.308664625	0.286899582	1.166755149	0.575894241	0.261184275	0.578462354	0.364265887	1.861651886	0.440918435	2.623623001	0.330771487	1.396175715	0.566362137	0.413664058	0.734621714	0.372832889	0.646538149	1.060034816	1.348138268	1.313742228	0.401060021	1.526552174	0.844260461	2.112731465	0.627778053	0.221155871	0.27383261	0.19428953	0.508824378	0.580780191	0.550563003	2.217233586	0.27627513	0.715272889	0.250113489	1.04339671
oxoproline	0.54092215	1.656104954	0.823171361	0.951589285	4.924393234	2.969407631	3.248337161	6.191430811	1.670773465	1.462522738	1.443580507	7.53930048	1.775857315	7.761559077	2.19099922	1.822907656	1.140902257	2.239829967	1.531781347	5.741075076	1.200837354	6.548797778	5.23492142	5.546822148	2.527941456	7.315884026	9.008886614	7.593616786	2.652031127	2.449343636	6.514366923	1.298233943	6.198402599	2.638277799	2.789803478	4.659740785	1.387336701	7.725179735	2.185750599	0.526793133	5.869369692	2.881922885	1.093072162	1.03409422	2.093032265
ornithine	0.052029646	0.071575245	0.073816156	1.495675537	0.600710578	8.449055322	0.381191173	1.771250418	0.620393186	0.102426966	0.500340597	5.4196538	0.359781062	4.941128222	0.136948748	1.748124192	0.374141826	0.504313005	0.117462201	2.047152801	0.096103057	3.088230604	0.488388687	4.749147463	0.649384757	4.807840094	1.040529814	6.607962994	0.139299605	0.34422627	1.617871403	1.045086018	5.690585085	1.9161529	0.147723422	4.35192165	0.209449586	8.228738935	0.531143561	1.402316664	3.84632497	2.595258747	0.160260191	1.789687071	0.319740867
N-acetylputrescine	0.017588176	0.032732581	0.02181987	0.304100722	0.190279078	1.760822421	0.079003352	0.506362817	0.242087747	0.041107604	0.015342224	1.479329508	0.020541451	1.202835361	0.038198639	0.197459912	0.09181458	0.12149232	0.047621245	0.57740946	0.041810762	0.852065653	0.111727956	1.066899949	0.268672898	1.147945364	0.259596912	2.108100848	0.068411462	0.035282297	0.621217717	0.030659487	1.25067219	0.456647737	0.031937106	0.247548913	0.052868644	1.592593976	0.079091913	0.229035899	1.169695048	0.481397636	0.043837005	0.354348286	0.131871095
N-acetylmannosamine	0.001714725	0.002236726	0.004900444	0.098793851	0.002249656	0.005760597	0.002702746	0.009055043	0.002400077	0.008333463	0.000920533	0.003936851	0.001650652	0.00253998	0.000783253	0.00072841	0.013456477	0.002955068	0.009757582	0.007433715	0.000427125	0.0041171	0.005025825	0.00195424	0.003624326	0.002330662	0.003269625	0.003299062	0.00357743	0.000656693	0.007801704	0.001361329	0.003076248	0.002814643	0.000858524	0.008761232	0.003447955	0.002816258	0.004373504	0.003697535	0.004111307	0.066380929	0.002907836	0.001125511	0.010616101
N-acetylglutamate	0.004164331	0.00507355	0.002166512	0.002073807	0.007743003	0.005400559	0.007952311	0.002038884	0.00634687	0.008706603	0.001227378	0.00405264	0.000978164	0.006195073	0.000964004	0.00072841	0.019615404	0.010928176	0.007583339	0.003227039	0.011295075	0.004986909	0.002264383	0.004540734	0.009769924	0.010204519	0.004622573	0.007187243	0.01260356	0.001253686	0.006903666	0.001006199	0.007335668	0.003377572	0.001831519	0.002410809	0.005089838	0.0061223	0.002687333	0.008081756	0.002984922	0.001328827	0.001975134	0.002251021	0.016603381
n-acetyl-d-hexosamine	0.002449607	0.004418898	0.004075106	0.053976582	0.114837112	0.077528032	0.051092299	0.067223202	0.051574984	0.123260623	0.0266341	0.057315913	0.159318513	0.024036883	0.186655179	0.021184602	0.045596756	0.090157449	0.018348497	0.047368321	0.004413622	0.221685517	0.093115835	0.003678569	0.011660876	0.005606186	0.078245497	0.105628907	0.010402065	0.051878708	0.037605337	0.042437938	0.082644579	0.026570233	0.0329101	0.039748947	0.008428335	0.016346542	0.027505649	0.003856001	0.016163632	0.051703435	0.034509983	0.013756242	0.059470292
